browser_natural_idle,os_natural_idle,browser_machine_idle,os_machine_idle,browser_natural_maximum_normal,os_natural_maximum_normal,browser_machine_maximum_normal,os_machine_maximum_normal,browser_natural_medium_abovenormal,os_natural_medium_abovenormal,browser_machine_medium_abovenormal,os_machine_medium_abovenormal,browser_natural_busy_abovenormal,os_natural_busy_abovenormal,browser_machine_busy_abovenormal,os_machine_busy_abovenormal,type
15.45047999999997,15.450712499999998,10.853580000000079,10.854196299999998,15.169560000000274,15.1696129,11.056619999999839,11.0568058,13.944480000000112,13.944736100000002,11.69820000000027,11.668793899999999,16.49848000000003,16.4667584,11.06608,11.066220699999999,keydown
15.560219999999958,15.560575499999999,10.863519999999994,10.8644241,15.263660000000073,15.2639064,11.066499999999905,11.067011399999998,14.046080000000075,14.046742799999999,11.698500000000195,11.678974299999998,16.57414,16.576168799999998,11.075959999999952,11.076403599999999,keyup
15.775700000000029,15.7757671,11.076159999999959,11.0767591,15.49456000000032,15.494726199999999,11.27800000000002,11.278185399999998,14.22474000000011,14.2216161,11.927800000000161,11.885107,16.830579999999998,16.7994478,11.29183999999998,11.2824444,keydown
15.877359999999953,15.8777084,11.086180000000013,11.0870082,15.564820000000054,15.5651036,11.287900000000036,11.288383799999998,14.344299999999976,14.3319037,11.928100000000086,11.8952689,16.930800000000033,16.900857499999997,11.292259999999999,11.292605600000002,keyup
16.100760000000037,16.1008062,11.292400000000043,11.2930195,15.780040000000099,15.779980299999998,11.499299999999948,11.499502399999997,14.51426000000015,14.514782899999998,12.100580000000264,12.1011526,17.122680000000003,17.1238207,11.512720000000002,11.4985355,keydown
16.178499999999985,16.1788002,11.30230000000006,11.303215599999998,15.8740200000002,15.874259299999999,11.509419999999864,11.5097104,14.624380000000201,14.6250691,12.110500000000002,12.1113086,17.223540000000014,17.2255702,11.513019999999983,11.508694900000002,keyup
16.401899999999955,16.401987899999998,11.509460000000104,11.510037699999998,16.089060000000018,16.0891578,11.720640000000003,11.720843199999997,14.823740000000043,14.8079168,12.316760000000158,12.317331999999999,17.438260000000014,17.4401147,11.728880000000004,11.724071000000002,keydown
16.487600000000043,16.4878924,11.519340000000057,11.520260799999999,16.151180000000068,16.1514997,11.730639999999994,11.731043399999997,14.94065999999998,14.902256,12.326620000000275,12.327489600000002,17.540380000000027,17.5423562,11.73381999999998,11.7342482,keyup
16.710820000000012,16.7110297,11.724739999999997,11.725305499999997,16.374319999999898,16.3743859,11.942019999999957,11.9422073,15.100480000000061,15.101058,12.547280000000228,12.533517600000001,17.764220000000023,17.7648126,11.94641999999999,11.946539300000001,keydown
16.804719999999975,16.8050151,11.734720000000038,11.7355181,16.444460000000163,16.4447389,11.951999999999998,11.9524233,15.194780000000037,15.195432900000002,12.547540000000026,12.5436794,17.864499999999964,17.8590351,11.956259999999986,11.956734700000002,keyup
17.027900000000045,17.0281697,11.94082000000003,11.941440999999998,16.675360000000182,16.6755751,12.16341999999986,12.1636016,15.410840000000007,15.378264199999998,12.769999999999982,12.7653084,18.096339999999998,18.0818029,12.181879999999978,12.162697900000001,keydown
17.121779999999944,17.1221119,11.950739999999996,11.951653,16.777579999999944,16.7778607,12.173440000000028,12.173809899999998,15.471900000000005,15.472580200000001,12.774680000000217,12.7754852,18.217480000000023,18.1837141,12.182159999999953,12.1729227,keyup
17.32928000000004,17.3293521,12.157259999999951,12.157767499999999,16.99276000000009,16.9928216,12.384999999999991,12.385155299999997,15.673919999999953,15.663326499999998,13.017460000000256,13.003618900000001,18.419340000000034,18.390556099999998,12.400899999999979,12.4010131,keydown
17.431040000000053,17.4313283,12.167140000000018,12.1679463,17.0788,17.079061,12.394980000000032,12.395372899999998,15.774179999999888,15.765599499999999,13.017740000000003,13.0137776,18.50392000000005,18.500525399999997,12.410779999999988,12.411181200000001,keyup
17.646299999999997,17.6464091,12.37990000000002,12.380476899999998,17.285860000000184,17.2859511,12.606340000000046,12.6065097,15.94791999999984,15.948427700000002,13.2492400000001,13.227438699999999,18.717120000000023,18.7076751,12.61705999999998,12.617143900000002,keydown
17.724180000000047,17.7245015,12.389920000000075,12.390670399999998,17.340020000000095,17.3403405,12.616340000000037,12.6167321,16.05006000000003,16.0507281,13.249520000000075,13.2376017,18.82038,18.817257299999998,12.626919999999984,12.627332599999999,keyup
17.95573999999999,17.9556276,12.595900000000029,12.5964849,17.579020000000128,17.5791612,12.827679999999873,12.8278094,16.25998000000004,16.217523999999997,13.47198000000003,13.467034799999999,19.05644000000001,19.032525399999997,12.83323999999999,12.833298,keydown
18.065259999999967,18.0656031,12.605840000000057,12.606729299999998,17.641200000000026,17.6415115,12.837639999999965,12.838024299999997,16.319240000000036,16.319912700000003,13.476340000000164,13.4772081,19.124000000000024,19.125997299999998,12.843140000000005,12.843487500000002,keyup
18.26454000000001,18.2647835,12.812220000000025,12.812847899999998,17.86424000000011,17.8643777,13.049060000000054,13.049255299999999,16.518159999999853,16.5186487,13.735020000000077,13.705620000000001,19.346660000000043,19.348480199999997,13.063619999999958,13.061792700000002,keydown
18.350360000000023,18.3506896,12.822119999999927,12.8230611,17.934439999999995,17.9347587,13.05898000000002,13.0594583,16.614199999999983,16.612941900000003,13.735320000000229,13.7157794,19.44864000000001,19.4506461,13.07153999999997,13.071964099999999,keyup
18.589899999999943,18.5899624,13.028400000000033,13.029018699999998,18.14166,18.1416918,13.270420000000058,13.270576199999997,16.803260000000137,16.8037809,13.966900000000123,13.9462223,19.679300000000012,19.6811346,13.287679999999966,13.2878,keydown
18.683719999999994,18.6840178,13.038319999999999,13.0392452,18.235680000000002,18.2359617,13.280300000000125,13.280788099999999,16.897399999999834,16.898115599999997,13.967160000000149,13.9563881,19.781360000000006,19.783366299999997,13.297519999999963,13.2979892,keyup
